run_accession	experiment_title	sample_accession	project_name	submission_accession	library_min_fragment_size	bam_md5	assembly_software	library_prep_longitude	library_selection	pcr_isolation_protocol	chip_protocol	sequencing_primer_provider	serotype	environment_feature	last_updated	submitted_galaxy	extraction_protocol	germline	secondary_project	culture_collection	submission_tool	sra_bytes	read_strand	rna_purity_280_ratio	hi_c_protocol	collected_by	submitted_ftp	restriction_enzyme_target_sequence	isolate	fastq_bytes	instrument_platform	variety	sra_file_role	sequencing_date_format	temperature	sra_aspera	ecotype	submitted_aspera	sampling_campaign	bam_ftp	tissue_lib	environmental_sample	control_experiment	sex	submitted_md5	checklist	fastq_galaxy	library_gen_protocol	specimen_voucher	library_prep_latitude	submitted_bytes	taxonomic_identity_marker	run_date	country	ncbi_reporting_standard	sample_description	sra_galaxy	sample_prep_interval	fastq_md5	secondary_study_accession	experimental_protocol	read_count	study_title	bio_material	fastq_file_role	rna_prep_5_protocol	host_body_site	local_environmental_context	assembly_quality	collection_date_end	sample_capture_status	sample_title	host_genotype	host_phenotype	environmental_medium	cultivar	instrument_model	faang_library_selection	target_gene	bam_bytes	library_max_fragment_size	experiment_target	sequencing_date	description	bam_file_role	nominal_sdev	chip_ab_provider	environment_material	host_tax_id	sample_material	sample_storage_processing	sra_md5	cell_type	fastq_ftp	disease	sample_prep_interval_units	broker_name	sub_strain	base_count	library_strategy	restriction_site	serovar	investigation_type	location	library_source	sra_ftp	age	library_layout	experimental_factor	sequencing_primer_catalog	environment_biome	rna_purity_230_ratio	dnase_protocol	dev_stage	library_prep_date_format	bam_aspera	binning_software	datahub	rna_integrity_num	library_prep_date	location_start	marine_region	aligned	file_location	sample_collection	chip_target	nominal_length	broad_scale_environmental_context	sequencing_location	status	completeness_score	lon	fastq_aspera	tax_lineage	host_sex	library_pcr_isolation_protocol	sample_alias	mating_type	collection_date_start	sub_species	contamination_score	run_alias	restriction_enzyme	depth	submitted_file_role	submitted_read_type	library_construction_protocol	host_growth_conditions	collection_date	experiment_alias	host_gravidity	center_name	identified_by	cell_line	sampling_site	host	library_name	tag	first_created	lat	strain	experiment_accession	scientific_name	host_status	tax_id	study_accession	submitted_format	submitted_host_sex	surveillance_target	bisulfite_protocol	altitude	rt_prep_protocol	host_scientific_name	bam_galaxy	accession	secondary_sample_accession	sample_storage	cage_protocol	sampling_platform	taxonomic_classification	location_end	protocol_label	elevation	salinity	sequencing_method	sequencing_primer_lot	first_public	transposase_protocol	study_alias	library_prep_location	rna_prep_3_protocol	ph	sequencing_longitude	tissue_type	isolation_source
SRR27336825	Illumina MiSeq sequencing: C57_4 P2	SAMN27531837	Gut bacteriome and virome of colorectal cancer model mice	SRA1775011					PCR						2023-12-26							6587817								1517038;1444576	ILLUMINA		ARCHIVAL_FILE			fasp.sra.ebi.ac.uk:/vol1/srr/SRR273/025/SRR27336825/SRR27336825.lite											ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/025/SRR27336825/SRR27336825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/025/SRR27336825/SRR27336825_2.fastq.gz							China:Hangzhou	Metagenome or environmental	Gut bacteriome extracted from feces of colorectal cancer model mice	ftp.sra.ebi.ac.uk/vol1/srr/SRR273/025/SRR27336825/SRR27336825.lite		56acbc042c07d02b9c6f85147b8b56fc;28a950f1cf7fbba48f90ab8a1c62cd70	SRP479905		51743	Analysis of gut microbiota in colorectal cancer model mice		GENERATED_FILE;GENERATED_FILE					2020-10-27		Metagenome or environmental sample from Gut bacteriome and virome of colorectal cancer model mice					Illumina MiSeq							Illumina MiSeq sequencing: C57_4 P2					10090			c8079856ae18ef071ddb717ab559fa8c		ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/025/SRR27336825/SRR27336825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/025/SRR27336825/SRR27336825_2.fastq.gz					25871500	AMPLICON				30.0 N 120.0 E	GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR273/025/SRR27336825/SRR27336825.lite		SINGLE										dcc_metagenome			30.0 N 120.0 E									public		120.0	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR273/025/SRR27336825/SRR27336825_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR273/025/SRR27336825/SRR27336825_2.fastq.gz	1;2787823;12908;408169;410656;410661			bacterial 16S rRNA genes of mice with colorectal cancer		2020-10-27			raw.split.MKC294.1.fq							2020-10-27	MKC294		SUB11294967				Mus musculus	MKC294	env_geo;env_geo:terrestrial	2023-12-26	30.0		SRX23013678	mouse gut metagenome		410661	PRJNA825639							Mus musculus		SRR27336825	SRS19976975					30.0 N 120.0 E						2023-12-26		PRJNA825639						feces
SRR27336831	Illumina MiSeq sequencing: C57_2 P1	SAMN27531837	Gut bacteriome and virome of colorectal cancer model mice	SRA1775011					PCR						2023-12-26							7675350								2022370;1940725	ILLUMINA		ARCHIVAL_FILE			fasp.sra.ebi.ac.uk:/vol1/srr/SRR273/031/SRR27336831/SRR27336831.lite											ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/031/SRR27336831/SRR27336831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/031/SRR27336831/SRR27336831_2.fastq.gz							China:Hangzhou	Metagenome or environmental	Gut bacteriome extracted from feces of colorectal cancer model mice	ftp.sra.ebi.ac.uk/vol1/srr/SRR273/031/SRR27336831/SRR27336831.lite		caf4c8371de1f9362e0dd27942b91b90;622d19ff4f53b8c0607c17519666e1ff	SRP479905		59564	Analysis of gut microbiota in colorectal cancer model mice		GENERATED_FILE;GENERATED_FILE					2020-10-27		Metagenome or environmental sample from Gut bacteriome and virome of colorectal cancer model mice					Illumina MiSeq							Illumina MiSeq sequencing: C57_2 P1					10090			a7589611f58d9092ab1888dbafa63e50		ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/031/SRR27336831/SRR27336831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/031/SRR27336831/SRR27336831_2.fastq.gz					29782000	AMPLICON				30.0 N 120.0 E	GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR273/031/SRR27336831/SRR27336831.lite		SINGLE										dcc_metagenome			30.0 N 120.0 E									public		120.0	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR273/031/SRR27336831/SRR27336831_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR273/031/SRR27336831/SRR27336831_2.fastq.gz	1;2787823;12908;408169;410656;410661			bacterial 16S rRNA genes of mice with colorectal cancer		2020-10-27			raw.split.MKS20245.1.fq							2020-10-27	MKS20245		SUB11294967				Mus musculus	MKS20245	env_geo;env_geo:terrestrial	2023-12-26	30.0		SRX23013672	mouse gut metagenome		410661	PRJNA825639							Mus musculus		SRR27336831	SRS19976975					30.0 N 120.0 E						2023-12-26		PRJNA825639						feces
SRR27336832	Illumina MiSeq sequencing: C57_1 P1	SAMN27531837	Gut bacteriome and virome of colorectal cancer model mice	SRA1775011					PCR						2023-12-26							7203974								2021197;1894889	ILLUMINA		ARCHIVAL_FILE			fasp.sra.ebi.ac.uk:/vol1/srr/SRR273/032/SRR27336832/SRR27336832.lite											ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/032/SRR27336832/SRR27336832_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/032/SRR27336832/SRR27336832_2.fastq.gz							China:Hangzhou	Metagenome or environmental	Gut bacteriome extracted from feces of colorectal cancer model mice	ftp.sra.ebi.ac.uk/vol1/srr/SRR273/032/SRR27336832/SRR27336832.lite		7ef73d76110a29c2a8072423771a016e;350871df739ef36894ebbc0139e195e0	SRP479905		55813	Analysis of gut microbiota in colorectal cancer model mice		GENERATED_FILE;GENERATED_FILE					2020-10-27		Metagenome or environmental sample from Gut bacteriome and virome of colorectal cancer model mice					Illumina MiSeq							Illumina MiSeq sequencing: C57_1 P1					10090			5dd8cd7de715b6fb5fb015be8df31a39		ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/032/SRR27336832/SRR27336832_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/032/SRR27336832/SRR27336832_2.fastq.gz					27906500	AMPLICON				30.0 N 120.0 E	GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR273/032/SRR27336832/SRR27336832.lite		SINGLE										dcc_metagenome			30.0 N 120.0 E									public		120.0	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR273/032/SRR27336832/SRR27336832_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR273/032/SRR27336832/SRR27336832_2.fastq.gz	1;2787823;12908;408169;410656;410661			bacterial 16S rRNA genes of mice with colorectal cancer		2020-10-27			raw.split.MKS20244.1.fq							2020-10-27	MKS20244		SUB11294967				Mus musculus	MKS20244	env_geo;env_geo:terrestrial	2023-12-26	30.0		SRX23013671	mouse gut metagenome		410661	PRJNA825639							Mus musculus		SRR27336832	SRS19976975					30.0 N 120.0 E						2023-12-26		PRJNA825639						feces
SRR27336826	Illumina MiSeq sequencing: C57_3 P2	SAMN27531837	Gut bacteriome and virome of colorectal cancer model mice	SRA1775011					PCR						2023-12-26							4788340								1191346;1134951	ILLUMINA		ARCHIVAL_FILE			fasp.sra.ebi.ac.uk:/vol1/srr/SRR273/026/SRR27336826/SRR27336826.lite											ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/026/SRR27336826/SRR27336826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/026/SRR27336826/SRR27336826_2.fastq.gz							China:Hangzhou	Metagenome or environmental	Gut bacteriome extracted from feces of colorectal cancer model mice	ftp.sra.ebi.ac.uk/vol1/srr/SRR273/026/SRR27336826/SRR27336826.lite		c3abc26de09466f7bd4ea708c0280bff;cc79b9f7675e946c4358fa2e3be9e0b0	SRP479905		37126	Analysis of gut microbiota in colorectal cancer model mice		GENERATED_FILE;GENERATED_FILE					2020-10-27		Metagenome or environmental sample from Gut bacteriome and virome of colorectal cancer model mice					Illumina MiSeq							Illumina MiSeq sequencing: C57_3 P2					10090			d3cc5292b50775c74788937fd78ff2e1		ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/026/SRR27336826/SRR27336826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/026/SRR27336826/SRR27336826_2.fastq.gz					18563000	AMPLICON				30.0 N 120.0 E	GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR273/026/SRR27336826/SRR27336826.lite		SINGLE										dcc_metagenome			30.0 N 120.0 E									public		120.0	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR273/026/SRR27336826/SRR27336826_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR273/026/SRR27336826/SRR27336826_2.fastq.gz	1;2787823;12908;408169;410656;410661			bacterial 16S rRNA genes of mice with colorectal cancer		2020-10-27			raw.split.MKC293.1.fq							2020-10-27	MKC293		SUB11294967				Mus musculus	MKC293	env_geo;env_geo:terrestrial	2023-12-26	30.0		SRX23013677	mouse gut metagenome		410661	PRJNA825639							Mus musculus		SRR27336826	SRS19976975					30.0 N 120.0 E						2023-12-26		PRJNA825639						feces
SRR27336827	Illumina MiSeq sequencing: APC_4 P1	SAMN27531837	Gut bacteriome and virome of colorectal cancer model mice	SRA1775011					PCR						2023-12-26							7703051								2072437;1925150	ILLUMINA		ARCHIVAL_FILE			fasp.sra.ebi.ac.uk:/vol1/srr/SRR273/027/SRR27336827/SRR27336827.lite											ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/027/SRR27336827/SRR27336827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/027/SRR27336827/SRR27336827_2.fastq.gz							China:Hangzhou	Metagenome or environmental	Gut bacteriome extracted from feces of colorectal cancer model mice	ftp.sra.ebi.ac.uk/vol1/srr/SRR273/027/SRR27336827/SRR27336827.lite		1516dc871f05035dc62707c8036578cd;f0a80c7c4122d93bee5d68ecbbb8c858	SRP479905		60286	Analysis of gut microbiota in colorectal cancer model mice		GENERATED_FILE;GENERATED_FILE					2020-10-27		Metagenome or environmental sample from Gut bacteriome and virome of colorectal cancer model mice					Illumina MiSeq							Illumina MiSeq sequencing: APC_4 P1					10090			00dbf88ac703a476077a3ff5eb36d21d		ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/027/SRR27336827/SRR27336827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/027/SRR27336827/SRR27336827_2.fastq.gz					30143000	AMPLICON				30.0 N 120.0 E	GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR273/027/SRR27336827/SRR27336827.lite		SINGLE										dcc_metagenome			30.0 N 120.0 E									public		120.0	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR273/027/SRR27336827/SRR27336827_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR273/027/SRR27336827/SRR27336827_2.fastq.gz	1;2787823;12908;408169;410656;410661			bacterial 16S rRNA genes of mice with colorectal cancer		2020-10-27			raw.split.MKB334.1.fq							2020-10-27	MKB334		SUB11294967				Mus musculus	MKB334	env_geo;env_geo:terrestrial	2023-12-26	30.0		SRX23013676	mouse gut metagenome		410661	PRJNA825639							Mus musculus		SRR27336827	SRS19976975					30.0 N 120.0 E						2023-12-26		PRJNA825639						feces
SRR27336828	Illumina MiSeq sequencing: APC_3 P1	SAMN27531837	Gut bacteriome and virome of colorectal cancer model mice	SRA1775011					PCR						2023-12-26							7194391								1999349;1854968	ILLUMINA		ARCHIVAL_FILE			fasp.sra.ebi.ac.uk:/vol1/srr/SRR273/028/SRR27336828/SRR27336828.lite											ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/028/SRR27336828/SRR27336828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/028/SRR27336828/SRR27336828_2.fastq.gz							China:Hangzhou	Metagenome or environmental	Gut bacteriome extracted from feces of colorectal cancer model mice	ftp.sra.ebi.ac.uk/vol1/srr/SRR273/028/SRR27336828/SRR27336828.lite		9f88ef455b304f089e2ef9634654cb6a;f461ae43e3da32f5c8ec4620eba888f0	SRP479905		56286	Analysis of gut microbiota in colorectal cancer model mice		GENERATED_FILE;GENERATED_FILE					2020-10-27		Metagenome or environmental sample from Gut bacteriome and virome of colorectal cancer model mice					Illumina MiSeq							Illumina MiSeq sequencing: APC_3 P1					10090			f6891143553d68c1c7eb00817343d71e		ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/028/SRR27336828/SRR27336828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/028/SRR27336828/SRR27336828_2.fastq.gz					28143000	AMPLICON				30.0 N 120.0 E	GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR273/028/SRR27336828/SRR27336828.lite		SINGLE										dcc_metagenome			30.0 N 120.0 E									public		120.0	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR273/028/SRR27336828/SRR27336828_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR273/028/SRR27336828/SRR27336828_2.fastq.gz	1;2787823;12908;408169;410656;410661			bacterial 16S rRNA genes of mice with colorectal cancer		2020-10-27			raw.split.MKB333.1.fq							2020-10-27	MKB333		SUB11294967				Mus musculus	MKB333	env_geo;env_geo:terrestrial	2023-12-26	30.0		SRX23013675	mouse gut metagenome		410661	PRJNA825639							Mus musculus		SRR27336828	SRS19976975					30.0 N 120.0 E						2023-12-26		PRJNA825639						feces
SRR27336829	Illumina MiSeq sequencing: APC_2 P1	SAMN27531837	Gut bacteriome and virome of colorectal cancer model mice	SRA1775011					PCR						2023-12-26							5009094								1439021;1356877	ILLUMINA		ARCHIVAL_FILE			fasp.sra.ebi.ac.uk:/vol1/srr/SRR273/029/SRR27336829/SRR27336829.lite											ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/029/SRR27336829/SRR27336829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/029/SRR27336829/SRR27336829_2.fastq.gz							China:Hangzhou	Metagenome or environmental	Gut bacteriome extracted from feces of colorectal cancer model mice	ftp.sra.ebi.ac.uk/vol1/srr/SRR273/029/SRR27336829/SRR27336829.lite		2ff393286ecf5c696b207b5e621e807d;a65ce946c04d197e47a654065a701652	SRP479905		38573	Analysis of gut microbiota in colorectal cancer model mice		GENERATED_FILE;GENERATED_FILE					2020-10-27		Metagenome or environmental sample from Gut bacteriome and virome of colorectal cancer model mice					Illumina MiSeq							Illumina MiSeq sequencing: APC_2 P1					10090			51a8e0ddc43a18421823f0059143fa18		ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/029/SRR27336829/SRR27336829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/029/SRR27336829/SRR27336829_2.fastq.gz					19286500	AMPLICON				30.0 N 120.0 E	GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR273/029/SRR27336829/SRR27336829.lite		SINGLE										dcc_metagenome			30.0 N 120.0 E									public		120.0	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR273/029/SRR27336829/SRR27336829_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR273/029/SRR27336829/SRR27336829_2.fastq.gz	1;2787823;12908;408169;410656;410661			bacterial 16S rRNA genes of mice with colorectal cancer		2020-10-27			raw.split.MKS20247.1.fq							2020-10-27	MKS20247		SUB11294967				Mus musculus	MKS20247	env_geo;env_geo:terrestrial	2023-12-26	30.0		SRX23013674	mouse gut metagenome		410661	PRJNA825639							Mus musculus		SRR27336829	SRS19976975					30.0 N 120.0 E						2023-12-26		PRJNA825639						feces
SRR27336830	Illumina MiSeq sequencing: APC_1 P1	SAMN27531837	Gut bacteriome and virome of colorectal cancer model mice	SRA1775011					PCR						2023-12-26							6261886								1751139;1666899	ILLUMINA		ARCHIVAL_FILE			fasp.sra.ebi.ac.uk:/vol1/srr/SRR273/030/SRR27336830/SRR27336830.lite											ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/030/SRR27336830/SRR27336830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/030/SRR27336830/SRR27336830_2.fastq.gz							China:Hangzhou	Metagenome or environmental	Gut bacteriome extracted from feces of colorectal cancer model mice	ftp.sra.ebi.ac.uk/vol1/srr/SRR273/030/SRR27336830/SRR27336830.lite		8facbfd3bc9cbe87bed0bcb91438c9f6;c85a210303938a5f39608aaf065f581e	SRP479905		48500	Analysis of gut microbiota in colorectal cancer model mice		GENERATED_FILE;GENERATED_FILE					2020-10-27		Metagenome or environmental sample from Gut bacteriome and virome of colorectal cancer model mice					Illumina MiSeq							Illumina MiSeq sequencing: APC_1 P1					10090			e106f220c565fc085356ba53b2d2cc9b		ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/030/SRR27336830/SRR27336830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/030/SRR27336830/SRR27336830_2.fastq.gz					24250000	AMPLICON				30.0 N 120.0 E	GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR273/030/SRR27336830/SRR27336830.lite		SINGLE										dcc_metagenome			30.0 N 120.0 E									public		120.0	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR273/030/SRR27336830/SRR27336830_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR273/030/SRR27336830/SRR27336830_2.fastq.gz	1;2787823;12908;408169;410656;410661			bacterial 16S rRNA genes of mice with colorectal cancer		2020-10-27			raw.split.MKS20246.1.fq							2020-10-27	MKS20246		SUB11294967				Mus musculus	MKS20246	env_geo;env_geo:terrestrial	2023-12-26	30.0		SRX23013673	mouse gut metagenome		410661	PRJNA825639							Mus musculus		SRR27336830	SRS19976975					30.0 N 120.0 E						2023-12-26		PRJNA825639						feces
